 --- Query # 0 - "QU What are the effects of calcium on the physical properties of mucus   from CF patients? "
 ------ Doc # 279 = 0.018077
 ------ Doc # 998 = 0.018036
 ------ Doc # 1128 = 0.017999
 ------ Doc # 1213 = 0.017986
 ------ Doc # 436 = 0.017973
 ------ Doc # 1019 = 0.017954
 ------ Doc # 633 = 0.017946
 ------ Doc # 18 = 0.017935
 ------ Doc # 425 = 0.017907
 ------ Doc # 765 = 0.017850
 ------ Doc # 1178 = 0.017774
 ------ Doc # 658 = 0.017767
 ------ Doc # 969 = 0.017758
 ------ Doc # 187 = 0.017714
 ------ Doc # 501 = 0.017713
 ------ Doc # 122 = 0.017694
 ------ Doc # 536 = 0.017649
 ------ Doc # 89 = 0.017583
 ------ Doc # 858 = 0.017517
 ------ Doc # 1216 = 0.017515
 ------ Doc # 1024 = 0.017446
 ------ Doc # 705 = 0.017438
 ------ Doc # 543 = 0.017430
 ------ Doc # 1115 = 0.017414
 ------ Doc # 411 = 0.017356
 ------ Doc # 297 = 0.017344
 ------ Doc # 243 = 0.017344
 ------ Doc # 208 = 0.017303
 ------ Doc # 1145 = 0.017292
 ------ Doc # 401 = 0.017289
 ------ Doc # 655 = 0.017278
 ------ Doc # 973 = 0.017265
 ------ Doc # 662 = 0.017264
 ------ Doc # 322 = 0.017254
 ------ Doc # 589 = 0.017249
 ------ Doc # 758 = 0.017227
 ------ Doc # 31 = 0.017226
 ------ Doc # 989 = 0.017207
 ------ Doc # 572 = 0.017203
 ------ Doc # 1222 = 0.017177
 ------ Doc # 466 = 0.017155
 ------ Doc # 1158 = 0.017151
 ------ Doc # 877 = 0.017149
 ------ Doc # 1181 = 0.017141
 ------ Doc # 573 = 0.017134
 ------ Doc # 1160 = 0.017125
 ------ Doc # 1164 = 0.017121
 ------ Doc # 693 = 0.017113
 ------ Doc # 394 = 0.017090
 ------ Doc # 946 = 0.017089
 ------ Doc # 1143 = 0.017036
 ------ Doc # 684 = 0.017010
 ------ Doc # 1167 = 0.016981
 ------ Doc # 985 = 0.016948
 ------ Doc # 671 = 0.016947
 ------ Doc # 850 = 0.016932
 ------ Doc # 625 = 0.016923
 ------ Doc # 358 = 0.016882
 ------ Doc # 912 = 0.016872
 ------ Doc # 392 = 0.016827
 ------ Doc # 1237 = 0.016813
 ------ Doc # 731 = 0.016808
 ------ Doc # 110 = 0.016786
 ------ Doc # 790 = 0.016762
 ------ Doc # 741 = 0.016740
 ------ Doc # 499 = 0.016722
 ------ Doc # 424 = 0.016677
 ------ Doc # 957 = 0.016654
 ------ Doc # 11 = 0.016640
 ------ Doc # 311 = 0.016612
 ------ Doc # 139 = 0.016595
 ------ Doc # 739 = 0.016585
 ------ Doc # 173 = 0.016567
 ------ Doc # 320 = 0.016567
 ------ Doc # 722 = 0.016540
 ------ Doc # 717 = 0.016477
 ------ Doc # 1155 = 0.016420
 ------ Doc # 242 = 0.016405
 ------ Doc # 628 = 0.016344
 ------ Doc # 174 = 0.016327
 ------ Doc # 694 = 0.016324
 ------ Doc # 185 = 0.016323
 ------ Doc # 260 = 0.016288
 ------ Doc # 812 = 0.016252
 ------ Doc # 129 = 0.016243
 ------ Doc # 526 = 0.016165
 ------ Doc # 336 = 0.016149
 ------ Doc # 840 = 0.016016
 ------ Doc # 776 = 0.015963
 ------ Doc # 1093 = 0.015962
 ------ Doc # 484 = 0.015959
 ------ Doc # 415 = 0.015943
 ------ Doc # 648 = 0.015938
 ------ Doc # 766 = 0.015927
 ------ Doc # 148 = 0.015923
 ------ Doc # 864 = 0.015911
 ------ Doc # 170 = 0.015910
 ------ Doc # 914 = 0.015905
 ------ Doc # 1171 = 0.015874
 ------ Doc # 895 = 0.015863
 ------ Doc # 508 = 0.015776
 ------ Doc # 1136 = 0.015755
 ------ Doc # 988 = 0.015739
 ------ Doc # 137 = 0.015718
 ------ Doc # 497 = 0.015711
 ------ Doc # 997 = 0.015687
 ------ Doc # 262 = 0.015679
 ------ Doc # 1146 = 0.015619
 ------ Doc # 585 = 0.015577
 ------ Doc # 223 = 0.015557
 ------ Doc # 552 = 0.015527
 ------ Doc # 397 = 0.015507
 ------ Doc # 999 = 0.015428
 ------ Doc # 746 = 0.015372
 ------ Doc # 905 = 0.015366
 ------ Doc # 1172 = 0.015348
 ------ Doc # 965 = 0.015342
 ------ Doc # 381 = 0.015330
 ------ Doc # 430 = 0.015329
 ------ Doc # 968 = 0.015270
 ------ Doc # 748 = 0.015269
 ------ Doc # 982 = 0.015192
 ------ Doc # 680 = 0.015150
 ------ Doc # 902 = 0.015142
 ------ Doc # 586 = 0.015092
 ------ Doc # 1157 = 0.015090
 ------ Doc # 1199 = 0.015036
 ------ Doc # 751 = 0.015006
 ------ Doc # 1042 = 0.014992
 ------ Doc # 59 = 0.014852
 ------ Doc # 720 = 0.014829
 ------ Doc # 834 = 0.014828
 ------ Doc # 10 = 0.014795
 ------ Doc # 438 = 0.014693
 ------ Doc # 190 = 0.014690
 ------ Doc # 692 = 0.014675
 ------ Doc # 893 = 0.014641
 ------ Doc # 574 = 0.014622
 ------ Doc # 754 = 0.014581
 ------ Doc # 144 = 0.014557
 ------ Doc # 1094 = 0.014521
 ------ Doc # 1014 = 0.014518
 ------ Doc # 204 = 0.014516
 ------ Doc # 1173 = 0.014482
 ------ Doc # 819 = 0.014471
 ------ Doc # 559 = 0.014457
 ------ Doc # 867 = 0.014444
 ------ Doc # 1107 = 0.014430
 ------ Doc # 1005 = 0.014428
 ------ Doc # 375 = 0.014411
 ------ Doc # 676 = 0.014351
 ------ Doc # 730 = 0.014308
 ------ Doc # 55 = 0.014267
 ------ Doc # 335 = 0.014257
 ------ Doc # 301 = 0.014157
 ------ Doc # 1067 = 0.014015
 ------ Doc # 826 = 0.014012
 ------ Doc # 745 = 0.013872
 ------ Doc # 527 = 0.013867
 ------ Doc # 1170 = 0.013793
 ------ Doc # 597 = 0.013764
 ------ Doc # 157 = 0.013764
 ------ Doc # 1197 = 0.013762
 ------ Doc # 1205 = 0.013750
 ------ Doc # 647 = 0.013526
 ------ Doc # 49 = 0.013490
 ------ Doc # 280 = 0.013385
 ------ Doc # 1202 = 0.013353
 ------ Doc # 669 = 0.013348
 ------ Doc # 94 = 0.013297
 ------ Doc # 441 = 0.013283
 ------ Doc # 35 = 0.013200
 ------ Doc # 57 = 0.013188
 ------ Doc # 951 = 0.013187
 ------ Doc # 1120 = 0.013184
 ------ Doc # 588 = 0.013110
 ------ Doc # 184 = 0.013041
 ------ Doc # 1057 = 0.013001
 ------ Doc # 312 = 0.012931
 ------ Doc # 532 = 0.012901
 ------ Doc # 580 = 0.012888
 ------ Doc # 64 = 0.012832
 ------ Doc # 522 = 0.012824
 ------ Doc # 1016 = 0.012809
 ------ Doc # 799 = 0.012801
 ------ Doc # 1125 = 0.012783
 ------ Doc # 860 = 0.012760
 ------ Doc # 1083 = 0.012737
 ------ Doc # 402 = 0.012672
 ------ Doc # 845 = 0.012635
 ------ Doc # 96 = 0.012628
 ------ Doc # 453 = 0.012626
 ------ Doc # 993 = 0.012609
 ------ Doc # 656 = 0.012543
 ------ Doc # 167 = 0.012482
 ------ Doc # 1214 = 0.012467
 ------ Doc # 646 = 0.012459
 ------ Doc # 113 = 0.012196
 ------ Doc # 480 = 0.012180
 ------ Doc # 119 = 0.012156
 ------ Doc # 663 = 0.011986
 ------ Doc # 1207 = 0.011972
 ------ Doc # 492 = 0.011949
 ------ Doc # 158 = 0.011894
 ------ Doc # 1188 = 0.011832
 ------ Doc # 318 = 0.011824
 ------ Doc # 376 = 0.011688
 ------ Doc # 763 = 0.011676
 ------ Doc # 25 = 0.011644
 ------ Doc # 554 = 0.011601
 ------ Doc # 524 = 0.011586
 ------ Doc # 339 = 0.011577
 ------ Doc # 353 = 0.011525
 ------ Doc # 88 = 0.011500
 ------ Doc # 9 = 0.011486
 ------ Doc # 752 = 0.011470
 ------ Doc # 814 = 0.011462
 ------ Doc # 777 = 0.011436
 ------ Doc # 361 = 0.011424
 ------ Doc # 314 = 0.011359
 ------ Doc # 639 = 0.011348
 ------ Doc # 825 = 0.011332
 ------ Doc # 892 = 0.011260
 ------ Doc # 328 = 0.011250
 ------ Doc # 1040 = 0.011216
 ------ Doc # 537 = 0.011143
 ------ Doc # 12 = 0.011115
 ------ Doc # 80 = 0.011106
 ------ Doc # 1109 = 0.011073
 ------ Doc # 683 = 0.010996
 ------ Doc # 863 = 0.010973
 ------ Doc # 916 = 0.010936
 ------ Doc # 233 = 0.010895
 ------ Doc # 500 = 0.010871
 ------ Doc # 903 = 0.010868
 ------ Doc # 1176 = 0.010843
 ------ Doc # 596 = 0.010840
 ------ Doc # 182 = 0.010779
 ------ Doc # 520 = 0.010772
 ------ Doc # 687 = 0.010768
 ------ Doc # 413 = 0.010712
 ------ Doc # 979 = 0.010706
 ------ Doc # 477 = 0.010696
 ------ Doc # 871 = 0.010682
 ------ Doc # 787 = 0.010675
 ------ Doc # 889 = 0.010667
 ------ Doc # 789 = 0.010654
 ------ Doc # 682 = 0.010643
 ------ Doc # 590 = 0.010619
 ------ Doc # 154 = 0.010618
 ------ Doc # 775 = 0.010617
 ------ Doc # 772 = 0.010617
 ------ Doc # 727 = 0.010614
 ------ Doc # 991 = 0.010570
 ------ Doc # 227 = 0.010565
 ------ Doc # 1124 = 0.010541
 ------ Doc # 27 = 0.010501
 ------ Doc # 1134 = 0.010461
 ------ Doc # 528 = 0.010445
 ------ Doc # 1092 = 0.010423
 ------ Doc # 105 = 0.010404
 ------ Doc # 761 = 0.010378
 ------ Doc # 756 = 0.010373
 ------ Doc # 872 = 0.010370
 ------ Doc # 921 = 0.010353
 ------ Doc # 1147 = 0.010338
 ------ Doc # 160 = 0.010291
 ------ Doc # 593 = 0.010278
 ------ Doc # 698 = 0.010276
 ------ Doc # 937 = 0.010268
 ------ Doc # 164 = 0.010256
 ------ Doc # 17 = 0.010247
 ------ Doc # 1174 = 0.010209
 ------ Doc # 555 = 0.010201
 ------ Doc # 115 = 0.010189
 ------ Doc # 399 = 0.010167
 ------ Doc # 186 = 0.010113
 ------ Doc # 783 = 0.010088
 ------ Doc # 408 = 0.010085
 ------ Doc # 491 = 0.010075
 ------ Doc # 472 = 0.010043
 ------ Doc # 824 = 0.010025
 ------ Doc # 162 = 0.010005
 ------ Doc # 1113 = 0.009991
 ------ Doc # 352 = 0.009950
 ------ Doc # 1022 = 0.009944
 ------ Doc # 817 = 0.009924
 ------ Doc # 1028 = 0.009890
 ------ Doc # 1 = 0.009877
 ------ Doc # 637 = 0.009873
 ------ Doc # 623 = 0.009870
 ------ Doc # 252 = 0.009852
 ------ Doc # 699 = 0.009840
 ------ Doc # 65 = 0.009811
 ------ Doc # 66 = 0.009805
 ------ Doc # 114 = 0.009781
 ------ Doc # 417 = 0.009778
 ------ Doc # 349 = 0.009770
 ------ Doc # 846 = 0.009747
 ------ Doc # 1062 = 0.009738
 ------ Doc # 379 = 0.009736
 ------ Doc # 99 = 0.009726
 ------ Doc # 1013 = 0.009723
 ------ Doc # 882 = 0.009707
 ------ Doc # 929 = 0.009695
 ------ Doc # 101 = 0.009677
 ------ Doc # 967 = 0.009659
 ------ Doc # 1032 = 0.009656
 ------ Doc # 791 = 0.009640
 ------ Doc # 514 = 0.009633
 ------ Doc # 344 = 0.009629
 ------ Doc # 666 = 0.009610
 ------ Doc # 888 = 0.009590
 ------ Doc # 34 = 0.009580
 ------ Doc # 1151 = 0.009565
 ------ Doc # 87 = 0.009550
 ------ Doc # 91 = 0.009550
 ------ Doc # 282 = 0.009550
 ------ Doc # 649 = 0.009546
 ------ Doc # 323 = 0.009532
 ------ Doc # 385 = 0.009523
 ------ Doc # 41 = 0.009522
 ------ Doc # 321 = 0.009519
 ------ Doc # 387 = 0.009511
 ------ Doc # 1122 = 0.009507
 ------ Doc # 832 = 0.009506
 ------ Doc # 125 = 0.009458
 ------ Doc # 891 = 0.009423
 ------ Doc # 103 = 0.009423
 ------ Doc # 626 = 0.009419
 ------ Doc # 570 = 0.009419
 ------ Doc # 1239 = 0.009389
 ------ Doc # 406 = 0.009382
 ------ Doc # 670 = 0.009375
 ------ Doc # 209 = 0.009365
 ------ Doc # 389 = 0.009364
 ------ Doc # 1008 = 0.009362
 ------ Doc # 784 = 0.009336
 ------ Doc # 1186 = 0.009321
 ------ Doc # 843 = 0.009318
 ------ Doc # 823 = 0.009314
 ------ Doc # 498 = 0.009313
 ------ Doc # 1074 = 0.009275
 ------ Doc # 996 = 0.009248
 ------ Doc # 460 = 0.009247
 ------ Doc # 474 = 0.009231
 ------ Doc # 642 = 0.009231
 ------ Doc # 1087 = 0.009217
 ------ Doc # 582 = 0.009198
 ------ Doc # 341 = 0.009198
 ------ Doc # 155 = 0.009193
 ------ Doc # 557 = 0.009188
 ------ Doc # 153 = 0.009179
 ------ Doc # 907 = 0.009179
 ------ Doc # 983 = 0.009153
 ------ Doc # 603 = 0.009144
 ------ Doc # 1012 = 0.009125
 ------ Doc # 654 = 0.009114
 ------ Doc # 774 = 0.009113
 ------ Doc # 343 = 0.009098
 ------ Doc # 478 = 0.009056
 ------ Doc # 220 = 0.009055
 ------ Doc # 19 = 0.009037
 ------ Doc # 1183 = 0.009032
 ------ Doc # 1227 = 0.009027
 ------ Doc # 1123 = 0.009023
 ------ Doc # 131 = 0.009008
 ------ Doc # 592 = 0.009007
 ------ Doc # 1223 = 0.009000
 ------ Doc # 97 = 0.008990
 ------ Doc # 644 = 0.008982
 ------ Doc # 291 = 0.008945
 ------ Doc # 327 = 0.008941
 ------ Doc # 728 = 0.008932
 ------ Doc # 340 = 0.008900
 ------ Doc # 640 = 0.008893
 ------ Doc # 286 = 0.008890
 ------ Doc # 1208 = 0.008890
 ------ Doc # 1184 = 0.008876
 ------ Doc # 267 = 0.008871
 ------ Doc # 1009 = 0.008861
 ------ Doc # 81 = 0.008837
 ------ Doc # 28 = 0.008821
 ------ Doc # 919 = 0.008785
 ------ Doc # 98 = 0.008780
 ------ Doc # 862 = 0.008772
 ------ Doc # 198 = 0.008770
 ------ Doc # 136 = 0.008764
 ------ Doc # 723 = 0.008764
 ------ Doc # 927 = 0.008754
 ------ Doc # 838 = 0.008752
 ------ Doc # 1232 = 0.008750
 ------ Doc # 351 = 0.008745
 ------ Doc # 1027 = 0.008712
 ------ Doc # 1108 = 0.008684
 ------ Doc # 880 = 0.008680
 ------ Doc # 346 = 0.008640
 ------ Doc # 1131 = 0.008634
 ------ Doc # 638 = 0.008633
 ------ Doc # 452 = 0.008623
 ------ Doc # 253 = 0.008621
 ------ Doc # 228 = 0.008613
 ------ Doc # 896 = 0.008597
 ------ Doc # 1153 = 0.008593
 ------ Doc # 1195 = 0.008578
 ------ Doc # 47 = 0.008575
 ------ Doc # 79 = 0.008550
 ------ Doc # 30 = 0.008531
 ------ Doc # 72 = 0.008530
 ------ Doc # 487 = 0.008517
 ------ Doc # 599 = 0.008516
 ------ Doc # 868 = 0.008508
 ------ Doc # 681 = 0.008498
 ------ Doc # 664 = 0.008492
 ------ Doc # 410 = 0.008487
 ------ Doc # 443 = 0.008450
 ------ Doc # 813 = 0.008449
 ------ Doc # 630 = 0.008447
 ------ Doc # 219 = 0.008438
 ------ Doc # 613 = 0.008433
 ------ Doc # 476 = 0.008433
 ------ Doc # 600 = 0.008420
 ------ Doc # 58 = 0.008415
 ------ Doc # 449 = 0.008412
 ------ Doc # 601 = 0.008411
 ------ Doc # 123 = 0.008406
 ------ Doc # 276 = 0.008406
 ------ Doc # 447 = 0.008404
 ------ Doc # 883 = 0.008396
 ------ Doc # 721 = 0.008379
 ------ Doc # 605 = 0.008373
 ------ Doc # 483 = 0.008358
 ------ Doc # 760 = 0.008358
 ------ Doc # 908 = 0.008355
 ------ Doc # 481 = 0.008354
 ------ Doc # 1036 = 0.008353
 ------ Doc # 518 = 0.008345
 ------ Doc # 444 = 0.008341
 ------ Doc # 309 = 0.008340
 ------ Doc # 1046 = 0.008328
 ------ Doc # 445 = 0.008326
 ------ Doc # 1152 = 0.008314
 ------ Doc # 1033 = 0.008303
 ------ Doc # 111 = 0.008301
 ------ Doc # 1021 = 0.008290
 ------ Doc # 788 = 0.008289
 ------ Doc # 1030 = 0.008282
 ------ Doc # 947 = 0.008278
 ------ Doc # 935 = 0.008276
 ------ Doc # 120 = 0.008270
 ------ Doc # 77 = 0.008265
 ------ Doc # 1129 = 0.008258
 ------ Doc # 238 = 0.008249
 ------ Doc # 67 = 0.008247
 ------ Doc # 635 = 0.008244
 ------ Doc # 732 = 0.008240
 ------ Doc # 152 = 0.008238
 ------ Doc # 800 = 0.008237
 ------ Doc # 60 = 0.008233
 ------ Doc # 821 = 0.008221
 ------ Doc # 725 = 0.008214
 ------ Doc # 241 = 0.008197
 ------ Doc # 24 = 0.008174
 ------ Doc # 773 = 0.008173
 ------ Doc # 615 = 0.008164
 ------ Doc # 855 = 0.008155
 ------ Doc # 93 = 0.008138
 ------ Doc # 701 = 0.008138
 ------ Doc # 1079 = 0.008122
 ------ Doc # 296 = 0.008111
 ------ Doc # 165 = 0.008096
 ------ Doc # 463 = 0.008068
 ------ Doc # 1190 = 0.008064
 ------ Doc # 1105 = 0.008052
 ------ Doc # 261 = 0.008042
 ------ Doc # 1084 = 0.008034
 ------ Doc # 762 = 0.008025
 ------ Doc # 1088 = 0.008014
 ------ Doc # 953 = 0.008004
 ------ Doc # 531 = 0.007955
 ------ Doc # 163 = 0.007951
 ------ Doc # 886 = 0.007932
 ------ Doc # 1235 = 0.007930
 ------ Doc # 876 = 0.007915
 ------ Doc # 1065 = 0.007910
 ------ Doc # 516 = 0.007909
 ------ Doc # 922 = 0.007888
 ------ Doc # 373 = 0.007873
 ------ Doc # 414 = 0.007847
 ------ Doc # 849 = 0.007834
 ------ Doc # 661 = 0.007824
 ------ Doc # 978 = 0.007822
 ------ Doc # 837 = 0.007807
 ------ Doc # 533 = 0.007802
 ------ Doc # 622 = 0.007782
 ------ Doc # 473 = 0.007771
 ------ Doc # 818 = 0.007766
 ------ Doc # 1078 = 0.007762
 ------ Doc # 334 = 0.007738
 ------ Doc # 634 = 0.007726
 ------ Doc # 325 = 0.007717
 ------ Doc # 423 = 0.007716
 ------ Doc # 317 = 0.007712
 ------ Doc # 46 = 0.007696
 ------ Doc # 1045 = 0.007692
 ------ Doc # 1048 = 0.007674
 ------ Doc # 16 = 0.007664
 ------ Doc # 1126 = 0.007663
 ------ Doc # 641 = 0.007650
 ------ Doc # 135 = 0.007638
 ------ Doc # 257 = 0.007614
 ------ Doc # 945 = 0.007575
 ------ Doc # 627 = 0.007564
 ------ Doc # 980 = 0.007563
 ------ Doc # 8 = 0.007552
 ------ Doc # 1130 = 0.007542
 ------ Doc # 719 = 0.007536
 ------ Doc # 432 = 0.007533
 ------ Doc # 172 = 0.007526
 ------ Doc # 179 = 0.007520
 ------ Doc # 803 = 0.007519
 ------ Doc # 239 = 0.007515
 ------ Doc # 709 = 0.007507
 ------ Doc # 504 = 0.007493
 ------ Doc # 1191 = 0.007481
 ------ Doc # 519 = 0.007479
 ------ Doc # 367 = 0.007468
 ------ Doc # 51 = 0.007445
 ------ Doc # 462 = 0.007424
 ------ Doc # 422 = 0.007423
 ------ Doc # 192 = 0.007389
 ------ Doc # 1020 = 0.007383
 ------ Doc # 509 = 0.007375
 ------ Doc # 390 = 0.007366
 ------ Doc # 606 = 0.007361
 ------ Doc # 811 = 0.007351
 ------ Doc # 197 = 0.007311
 ------ Doc # 792 = 0.007287
 ------ Doc # 612 = 0.007284
 ------ Doc # 26 = 0.007270
 ------ Doc # 652 = 0.007269
 ------ Doc # 780 = 0.007257
 ------ Doc # 1004 = 0.007227
 ------ Doc # 1043 = 0.007226
 ------ Doc # 1051 = 0.007226
 ------ Doc # 1138 = 0.007215
 ------ Doc # 326 = 0.007207
 ------ Doc # 795 = 0.007207
 ------ Doc # 753 = 0.007191
 ------ Doc # 575 = 0.007173
 ------ Doc # 202 = 0.007095
 ------ Doc # 273 = 0.007093
 ------ Doc # 933 = 0.007057
 ------ Doc # 348 = 0.007050
 ------ Doc # 210 = 0.007023
 ------ Doc # 268 = 0.007014
 ------ Doc # 169 = 0.006982
 ------ Doc # 359 = 0.006980
 ------ Doc # 1098 = 0.006969
 ------ Doc # 1193 = 0.006961
 ------ Doc # 781 = 0.006928
 ------ Doc # 1221 = 0.006895
 ------ Doc # 651 = 0.006878
 ------ Doc # 667 = 0.006874
 ------ Doc # 76 = 0.006862
 ------ Doc # 275 = 0.006837
 ------ Doc # 43 = 0.006829
 ------ Doc # 942 = 0.006824
 ------ Doc # 440 = 0.006819
 ------ Doc # 673 = 0.006807
 ------ Doc # 517 = 0.006778
 ------ Doc # 429 = 0.006761
 ------ Doc # 450 = 0.006737
 ------ Doc # 315 = 0.006690
 ------ Doc # 703 = 0.006686
 ------ Doc # 416 = 0.006671
 ------ Doc # 360 = 0.006633
 ------ Doc # 130 = 0.006627
 ------ Doc # 934 = 0.006623
 ------ Doc # 14 = 0.006613
 ------ Doc # 938 = 0.006597
 ------ Doc # 542 = 0.006583
 ------ Doc # 550 = 0.006573
 ------ Doc # 1000 = 0.006570
 ------ Doc # 879 = 0.006565
 ------ Doc # 42 = 0.006563
 ------ Doc # 403 = 0.006534
 ------ Doc # 1230 = 0.006531
 ------ Doc # 657 = 0.006527
 ------ Doc # 866 = 0.006524
 ------ Doc # 1080 = 0.006518
 ------ Doc # 370 = 0.006515
 ------ Doc # 461 = 0.006514
 ------ Doc # 258 = 0.006498
 ------ Doc # 90 = 0.006498
 ------ Doc # 263 = 0.006489
 ------ Doc # 1189 = 0.006475
 ------ Doc # 952 = 0.006471
 ------ Doc # 270 = 0.006452
 ------ Doc # 428 = 0.006446
 ------ Doc # 955 = 0.006432
 ------ Doc # 32 = 0.006419
 ------ Doc # 133 = 0.006412
 ------ Doc # 925 = 0.006397
 ------ Doc # 1220 = 0.006377
 ------ Doc # 511 = 0.006372
 ------ Doc # 1070 = 0.006357
 ------ Doc # 357 = 0.006339
 ------ Doc # 1121 = 0.006300
 ------ Doc # 464 = 0.006279
 ------ Doc # 215 = 0.006257
 ------ Doc # 409 = 0.006252
 ------ Doc # 660 = 0.006229
 ------ Doc # 759 = 0.006222
 ------ Doc # 1086 = 0.006214
 ------ Doc # 1034 = 0.006202
 ------ Doc # 333 = 0.006173
 ------ Doc # 365 = 0.006160
 ------ Doc # 161 = 0.006152
 ------ Doc # 829 = 0.006117
 ------ Doc # 20 = 0.006102
 ------ Doc # 44 = 0.006101
 ------ Doc # 804 = 0.006067
 ------ Doc # 764 = 0.006058
 ------ Doc # 910 = 0.006053
 ------ Doc # 779 = 0.006042
 ------ Doc # 388 = 0.006039
 ------ Doc # 560 = 0.006014
 ------ Doc # 643 = 0.006013
 ------ Doc # 54 = 0.006000
 ------ Doc # 1114 = 0.005996
 ------ Doc # 620 = 0.005996
 ------ Doc # 802 = 0.005985
 ------ Doc # 972 = 0.005911
 ------ Doc # 356 = 0.005855
 ------ Doc # 459 = 0.005849
 ------ Doc # 256 = 0.005843
 ------ Doc # 213 = 0.005834
 ------ Doc # 117 = 0.005828
 ------ Doc # 138 = 0.005822
 ------ Doc # 177 = 0.005820
 ------ Doc # 715 = 0.005788
 ------ Doc # 545 = 0.005757
 ------ Doc # 828 = 0.005721
 ------ Doc # 1064 = 0.005721
 ------ Doc # 5 = 0.005701
 ------ Doc # 608 = 0.005694
 ------ Doc # 240 = 0.005689
 ------ Doc # 591 = 0.005668
 ------ Doc # 801 = 0.005667
 ------ Doc # 229 = 0.005663
 ------ Doc # 319 = 0.005654
 ------ Doc # 900 = 0.005652
 ------ Doc # 513 = 0.005590
 ------ Doc # 747 = 0.005588
 ------ Doc # 793 = 0.005581
 ------ Doc # 594 = 0.005581
 ------ Doc # 29 = 0.005577
 ------ Doc # 1054 = 0.005576
 ------ Doc # 700 = 0.005566
 ------ Doc # 1053 = 0.005559
 ------ Doc # 50 = 0.005544
 ------ Doc # 384 = 0.005539
 ------ Doc # 1025 = 0.005529
 ------ Doc # 1196 = 0.005509
 ------ Doc # 1058 = 0.005506
 ------ Doc # 21 = 0.005475
 ------ Doc # 650 = 0.005458
 ------ Doc # 116 = 0.005452
 ------ Doc # 609 = 0.005452
 ------ Doc # 884 = 0.005447
 ------ Doc # 15 = 0.005413
 ------ Doc # 1118 = 0.005407
 ------ Doc # 1119 = 0.005406
 ------ Doc # 271 = 0.005402
 ------ Doc # 68 = 0.005377
 ------ Doc # 255 = 0.005366
 ------ Doc # 618 = 0.005366
 ------ Doc # 718 = 0.005343
 ------ Doc # 859 = 0.005338
 ------ Doc # 808 = 0.005331
 ------ Doc # 1100 = 0.005323
 ------ Doc # 232 = 0.005320
 ------ Doc # 1228 = 0.005319
 ------ Doc # 734 = 0.005301
 ------ Doc # 1215 = 0.005297
 ------ Doc # 1229 = 0.005292
 ------ Doc # 820 = 0.005263
 ------ Doc # 350 = 0.005254
 ------ Doc # 1063 = 0.005241
 ------ Doc # 156 = 0.005219
 ------ Doc # 827 = 0.005162
 ------ Doc # 166 = 0.005141
 ------ Doc # 426 = 0.005139
 ------ Doc # 73 = 0.005131
 ------ Doc # 577 = 0.005131
 ------ Doc # 770 = 0.005123
 ------ Doc # 183 = 0.005122
 ------ Doc # 159 = 0.005119
 ------ Doc # 171 = 0.005115
 ------ Doc # 207 = 0.005113
 ------ Doc # 835 = 0.005087
 ------ Doc # 1077 = 0.005084
 ------ Doc # 806 = 0.005083
 ------ Doc # 196 = 0.005082
 ------ Doc # 212 = 0.005077
 ------ Doc # 1011 = 0.005044
 ------ Doc # 1056 = 0.005042
 ------ Doc # 970 = 0.005022
 ------ Doc # 369 = 0.005011
 ------ Doc # 865 = 0.005004
 ------ Doc # 237 = 0.004998
 ------ Doc # 677 = 0.004993
 ------ Doc # 22 = 0.004992
 ------ Doc # 195 = 0.004990
 ------ Doc # 920 = 0.004984
 ------ Doc # 290 = 0.004968
 ------ Doc # 53 = 0.004962
 ------ Doc # 1212 = 0.004961
 ------ Doc # 805 = 0.004958
 ------ Doc # 1090 = 0.004956
 ------ Doc # 1082 = 0.004940
 ------ Doc # 78 = 0.004938
 ------ Doc # 1111 = 0.004929
 ------ Doc # 556 = 0.004922
 ------ Doc # 706 = 0.004917
 ------ Doc # 1194 = 0.004913
 ------ Doc # 146 = 0.004910
 ------ Doc # 598 = 0.004903
 ------ Doc # 303 = 0.004899
 ------ Doc # 1072 = 0.004896
 ------ Doc # 897 = 0.004881
 ------ Doc # 479 = 0.004876
 ------ Doc # 82 = 0.004875
 ------ Doc # 383 = 0.004874
 ------ Doc # 456 = 0.004866
 ------ Doc # 100 = 0.004849
 ------ Doc # 1075 = 0.004835
 ------ Doc # 579 = 0.004830
 ------ Doc # 1116 = 0.004825
 ------ Doc # 757 = 0.004819
 ------ Doc # 616 = 0.004814
 ------ Doc # 7 = 0.004813
 ------ Doc # 992 = 0.004811
 ------ Doc # 1055 = 0.004807
 ------ Doc # 995 = 0.004802
 ------ Doc # 396 = 0.004765
 ------ Doc # 332 = 0.004758
 ------ Doc # 1035 = 0.004742
 ------ Doc # 836 = 0.004727
 ------ Doc # 672 = 0.004717
 ------ Doc # 878 = 0.004698
 ------ Doc # 372 = 0.004688
 ------ Doc # 2 = 0.004684
 ------ Doc # 854 = 0.004678
 ------ Doc # 1231 = 0.004677
 ------ Doc # 847 = 0.004677
 ------ Doc # 6 = 0.004676
 ------ Doc # 621 = 0.004669
 ------ Doc # 1037 = 0.004639
 ------ Doc # 885 = 0.004634
 ------ Doc # 362 = 0.004627
 ------ Doc # 569 = 0.004626
 ------ Doc # 578 = 0.004615
 ------ Doc # 549 = 0.004610
 ------ Doc # 668 = 0.004609
 ------ Doc # 468 = 0.004606
