 --- Query # 1 - " What are the effects of calcium on the physical properties of mucus CF patients? "
 ------ Doc # 585 = 0.048072
 ------ Doc # 782 = 0.048001
 ------ Doc # 384 = 0.047946
 ------ Doc # 1115 = 0.047940
 ------ Doc # 637 = 0.047845
 ------ Doc # 1093 = 0.047825
 ------ Doc # 703 = 0.047756
 ------ Doc # 1100 = 0.047681
 ------ Doc # 641 = 0.047549
 ------ Doc # 677 = 0.047525
 ------ Doc # 629 = 0.047523
 ------ Doc # 413 = 0.047471
 ------ Doc # 156 = 0.047440
 ------ Doc # 555 = 0.047430
 ------ Doc # 981 = 0.047347
 ------ Doc # 1122 = 0.047182
 ------ Doc # 291 = 0.047170
 ------ Doc # 262 = 0.046935
 ------ Doc # 9 = 0.046804
 ------ Doc # 1177 = 0.046764
 ------ Doc # 176 = 0.046650
 ------ Doc # 433 = 0.046645
 ------ Doc # 117 = 0.046570
 ------ Doc # 225 = 0.046447
 ------ Doc # 142 = 0.046444
 ------ Doc # 103 = 0.046366
 ------ Doc # 1176 = 0.046290
 ------ Doc # 851 = 0.046277
 ------ Doc # 826 = 0.046238
 ------ Doc # 115 = 0.046208
 ------ Doc # 414 = 0.046120
 ------ Doc # 146 = 0.046068
 ------ Doc # 670 = 0.046024
 ------ Doc # 308 = 0.045988
 ------ Doc # 1220 = 0.045949
 ------ Doc # 234 = 0.045766
 ------ Doc # 136 = 0.045753
 ------ Doc # 853 = 0.045717
 ------ Doc # 916 = 0.045648
 ------ Doc # 792 = 0.045575
 ------ Doc # 626 = 0.045560
 ------ Doc # 783 = 0.045500
 ------ Doc # 952 = 0.045422
 ------ Doc # 178 = 0.045338
 ------ Doc # 422 = 0.045321
 ------ Doc # 995 = 0.045305
 ------ Doc # 312 = 0.045254
 ------ Doc # 1087 = 0.044463
 ------ Doc # 1048 = 0.044391
 ------ Doc # 180 = 0.044380
 ------ Doc # 773 = 0.044309
 ------ Doc # 89 = 0.044182
 ------ Doc # 343 = 0.044118
 ------ Doc # 977 = 0.044100
 ------ Doc # 1075 = 0.044069
 ------ Doc # 149 = 0.044054
 ------ Doc # 296 = 0.044011
 ------ Doc # 337 = 0.044001
 ------ Doc # 460 = 0.043906
 ------ Doc # 21 = 0.043782
 ------ Doc # 247 = 0.043743
 ------ Doc # 123 = 0.043626
 ------ Doc # 476 = 0.043535
 ------ Doc # 244 = 0.043508
 ------ Doc # 992 = 0.043505
 ------ Doc # 22 = 0.043477
 ------ Doc # 357 = 0.043323
 ------ Doc # 317 = 0.043293
 ------ Doc # 814 = 0.043211
 ------ Doc # 809 = 0.043185
 ------ Doc # 301 = 0.043025
 ------ Doc # 154 = 0.043014
 ------ Doc # 216 = 0.043003
 ------ Doc # 575 = 0.042801
 ------ Doc # 393 = 0.042753
 ------ Doc # 1013 = 0.042746
 ------ Doc # 1038 = 0.042623
 ------ Doc # 1035 = 0.042612
 ------ Doc # 1140 = 0.042604
 ------ Doc # 1001 = 0.042580
 ------ Doc # 815 = 0.042571
 ------ Doc # 1178 = 0.042570
 ------ Doc # 1189 = 0.042517
 ------ Doc # 1059 = 0.042406
 ------ Doc # 1114 = 0.042384
 ------ Doc # 138 = 0.042239
 ------ Doc # 885 = 0.042196
 ------ Doc # 761 = 0.042195
 ------ Doc # 443 = 0.042163
 ------ Doc # 173 = 0.042054
 ------ Doc # 1021 = 0.041962
 ------ Doc # 1153 = 0.041820
 ------ Doc # 193 = 0.041718
 ------ Doc # 1111 = 0.041712
 ------ Doc # 199 = 0.041668
 ------ Doc # 664 = 0.041552
 ------ Doc # 371 = 0.041295
 ------ Doc # 624 = 0.041153
 ------ Doc # 618 = 0.041153
 ------ Doc # 391 = 0.041073
 ------ Doc # 375 = 0.040883
 ------ Doc # 683 = 0.040863
 ------ Doc # 997 = 0.040786
 ------ Doc # 407 = 0.040782
 ------ Doc # 638 = 0.040660
 ------ Doc # 817 = 0.040503
 ------ Doc # 702 = 0.040481
 ------ Doc # 426 = 0.040315
 ------ Doc # 8 = 0.040192
 ------ Doc # 229 = 0.040119
 ------ Doc # 276 = 0.040061
 ------ Doc # 388 = 0.039980
 ------ Doc # 131 = 0.039929
 ------ Doc # 1208 = 0.039879
 ------ Doc # 606 = 0.039761
 ------ Doc # 82 = 0.039729
 ------ Doc # 937 = 0.039711
 ------ Doc # 569 = 0.039683
 ------ Doc # 194 = 0.039664
 ------ Doc # 800 = 0.039649
 ------ Doc # 192 = 0.039641
 ------ Doc # 699 = 0.039627
 ------ Doc # 30 = 0.039612
 ------ Doc # 487 = 0.039569
 ------ Doc # 557 = 0.039560
 ------ Doc # 1088 = 0.039346
 ------ Doc # 882 = 0.039260
 ------ Doc # 73 = 0.039253
 ------ Doc # 929 = 0.038965
 ------ Doc # 200 = 0.038942
 ------ Doc # 947 = 0.038876
 ------ Doc # 1134 = 0.038845
 ------ Doc # 751 = 0.038804
 ------ Doc # 854 = 0.038722
 ------ Doc # 797 = 0.038676
 ------ Doc # 1054 = 0.038595
 ------ Doc # 210 = 0.038570
 ------ Doc # 1116 = 0.038533
 ------ Doc # 58 = 0.038514
 ------ Doc # 1053 = 0.038426
 ------ Doc # 143 = 0.038426
 ------ Doc # 486 = 0.038308
 ------ Doc # 125 = 0.038299
 ------ Doc # 611 = 0.038259
 ------ Doc # 257 = 0.038112
 ------ Doc # 253 = 0.038011
 ------ Doc # 774 = 0.037827
 ------ Doc # 227 = 0.037756
 ------ Doc # 556 = 0.037742
 ------ Doc # 836 = 0.037694
 ------ Doc # 1010 = 0.037670
 ------ Doc # 23 = 0.037666
 ------ Doc # 561 = 0.037499
 ------ Doc # 871 = 0.037482
 ------ Doc # 153 = 0.037256
 ------ Doc # 374 = 0.037183
 ------ Doc # 750 = 0.037139
 ------ Doc # 547 = 0.037113
 ------ Doc # 519 = 0.037109
 ------ Doc # 286 = 0.037097
 ------ Doc # 113 = 0.037090
 ------ Doc # 181 = 0.037032
 ------ Doc # 448 = 0.036783
 ------ Doc # 597 = 0.036633
 ------ Doc # 841 = 0.036630
 ------ Doc # 457 = 0.036598
 ------ Doc # 1047 = 0.036571
 ------ Doc # 728 = 0.036420
 ------ Doc # 1194 = 0.036384
 ------ Doc # 1082 = 0.036322
 ------ Doc # 824 = 0.036315
 ------ Doc # 198 = 0.036186
 ------ Doc # 868 = 0.036173
 ------ Doc # 410 = 0.036157
 ------ Doc # 1057 = 0.036144
 ------ Doc # 1212 = 0.036127
 ------ Doc # 264 = 0.036090
 ------ Doc # 972 = 0.036053
 ------ Doc # 269 = 0.036053
 ------ Doc # 1037 = 0.035883
 ------ Doc # 255 = 0.035879
 ------ Doc # 1046 = 0.035592
 ------ Doc # 549 = 0.035452
 ------ Doc # 354 = 0.035401
 ------ Doc # 160 = 0.035389
 ------ Doc # 649 = 0.035142
 ------ Doc # 581 = 0.035119
 ------ Doc # 1118 = 0.035108
 ------ Doc # 816 = 0.035071
 ------ Doc # 910 = 0.034995
 ------ Doc # 86 = 0.034921
 ------ Doc # 732 = 0.034920
 ------ Doc # 621 = 0.034838
 ------ Doc # 1119 = 0.034618
 ------ Doc # 339 = 0.034523
 ------ Doc # 706 = 0.034508
 ------ Doc # 50 = 0.034492
 ------ Doc # 1182 = 0.034428
 ------ Doc # 387 = 0.034369
 ------ Doc # 340 = 0.034323
 ------ Doc # 120 = 0.034260
 ------ Doc # 763 = 0.034246
 ------ Doc # 899 = 0.034170
 ------ Doc # 983 = 0.034140
 ------ Doc # 859 = 0.034120
 ------ Doc # 905 = 0.034099
 ------ Doc # 273 = 0.034069
 ------ Doc # 35 = 0.034032
 ------ Doc # 406 = 0.034028
 ------ Doc # 285 = 0.033955
 ------ Doc # 635 = 0.033881
 ------ Doc # 10 = 0.033701
 ------ Doc # 762 = 0.033641
 ------ Doc # 1184 = 0.033585
 ------ Doc # 591 = 0.033584
 ------ Doc # 1144 = 0.033538
 ------ Doc # 825 = 0.033490
 ------ Doc # 583 = 0.033443
 ------ Doc # 158 = 0.033306
 ------ Doc # 587 = 0.033246
 ------ Doc # 228 = 0.033172
 ------ Doc # 403 = 0.032961
 ------ Doc # 1141 = 0.032843
 ------ Doc # 966 = 0.032813
 ------ Doc # 654 = 0.032640
 ------ Doc # 204 = 0.032592
 ------ Doc # 1060 = 0.032581
 ------ Doc # 764 = 0.032511
 ------ Doc # 1056 = 0.032480
 ------ Doc # 965 = 0.032473
 ------ Doc # 772 = 0.032245
 ------ Doc # 25 = 0.032208
 ------ Doc # 1166 = 0.032122
 ------ Doc # 1020 = 0.032069
 ------ Doc # 709 = 0.031979
 ------ Doc # 152 = 0.031908
 ------ Doc # 832 = 0.031905
 ------ Doc # 640 = 0.031876
 ------ Doc # 1104 = 0.031870
 ------ Doc # 619 = 0.031595
 ------ Doc # 280 = 0.031525
 ------ Doc # 161 = 0.031459
 ------ Doc # 907 = 0.031438
 ------ Doc # 196 = 0.031424
 ------ Doc # 245 = 0.031376
 ------ Doc # 660 = 0.031254
 ------ Doc # 420 = 0.031252
 ------ Doc # 1127 = 0.030887
 ------ Doc # 363 = 0.030817
 ------ Doc # 230 = 0.030646
 ------ Doc # 1235 = 0.030589
 ------ Doc # 105 = 0.030543
 ------ Doc # 1072 = 0.030403
 ------ Doc # 601 = 0.030371
 ------ Doc # 1131 = 0.030346
 ------ Doc # 87 = 0.030327
 ------ Doc # 390 = 0.030247
 ------ Doc # 474 = 0.030237
 ------ Doc # 1027 = 0.030234
 ------ Doc # 518 = 0.030221
 ------ Doc # 506 = 0.030214
 ------ Doc # 214 = 0.030205
 ------ Doc # 672 = 0.030091
 ------ Doc # 1129 = 0.030070
 ------ Doc # 820 = 0.030007
 ------ Doc # 1158 = 0.029962
 ------ Doc # 389 = 0.029870
 ------ Doc # 1051 = 0.029793
 ------ Doc # 399 = 0.029769
 ------ Doc # 1006 = 0.029760
 ------ Doc # 953 = 0.029646
 ------ Doc # 97 = 0.029624
 ------ Doc # 906 = 0.029532
 ------ Doc # 682 = 0.029189
 ------ Doc # 224 = 0.029180
 ------ Doc # 604 = 0.029021
 ------ Doc # 650 = 0.028938
 ------ Doc # 994 = 0.028884
 ------ Doc # 896 = 0.028773
 ------ Doc # 1017 = 0.028765
 ------ Doc # 1214 = 0.028620
 ------ Doc # 743 = 0.028505
 ------ Doc # 1196 = 0.028459
 ------ Doc # 537 = 0.028321
 ------ Doc # 42 = 0.028301
 ------ Doc # 718 = 0.028200
 ------ Doc # 344 = 0.028177
 ------ Doc # 803 = 0.028114
 ------ Doc # 787 = 0.028053
 ------ Doc # 99 = 0.028011
 ------ Doc # 659 = 0.027971
 ------ Doc # 421 = 0.027940
 ------ Doc # 770 = 0.027814
 ------ Doc # 170 = 0.027736
 ------ Doc # 249 = 0.027682
 ------ Doc # 1058 = 0.027625
 ------ Doc # 1045 = 0.027535
 ------ Doc # 1049 = 0.027456
 ------ Doc # 232 = 0.027166
 ------ Doc # 5 = 0.027162
 ------ Doc # 775 = 0.027155
 ------ Doc # 78 = 0.027083
 ------ Doc # 979 = 0.026923
 ------ Doc # 613 = 0.026910
 ------ Doc # 1098 = 0.026681
 ------ Doc # 1077 = 0.026465
 ------ Doc # 423 = 0.026420
 ------ Doc # 353 = 0.026253
 ------ Doc # 127 = 0.026039
 ------ Doc # 310 = 0.025995
 ------ Doc # 1009 = 0.025991
 ------ Doc # 560 = 0.025817
 ------ Doc # 17 = 0.025811
 ------ Doc # 365 = 0.025513
 ------ Doc # 935 = 0.025391
 ------ Doc # 94 = 0.025326
 ------ Doc # 917 = 0.025245
 ------ Doc # 207 = 0.024922
 ------ Doc # 1230 = 0.024841
 ------ Doc # 1101 = 0.024787
 ------ Doc # 579 = 0.024776
 ------ Doc # 396 = 0.024508
 ------ Doc # 2 = 0.024494
 ------ Doc # 155 = 0.024179
 ------ Doc # 267 = 0.024124
 ------ Doc # 578 = 0.024038
 ------ Doc # 75 = 0.023805
 ------ Doc # 259 = 0.023712
 ------ Doc # 799 = 0.023623
 ------ Doc # 927 = 0.023565
 ------ Doc # 600 = 0.023423
 ------ Doc # 668 = 0.023351
 ------ Doc # 509 = 0.023323
 ------ Doc # 408 = 0.023252
 ------ Doc # 32 = 0.023204
 ------ Doc # 1007 = 0.023084
 ------ Doc # 1095 = 0.023036
 ------ Doc # 991 = 0.022831
 ------ Doc # 857 = 0.022799
 ------ Doc # 167 = 0.022785
 ------ Doc # 1228 = 0.022660
 ------ Doc # 1198 = 0.022629
 ------ Doc # 666 = 0.022580
 ------ Doc # 801 = 0.022100
 ------ Doc # 768 = 0.021895
 ------ Doc # 1113 = 0.021888
 ------ Doc # 700 = 0.021840
 ------ Doc # 1204 = 0.021758
 ------ Doc # 863 = 0.021685
 ------ Doc # 29 = 0.021280
 ------ Doc # 1190 = 0.021215
 ------ Doc # 681 = 0.021116
 ------ Doc # 171 = 0.021094
 ------ Doc # 68 = 0.021083
 ------ Doc # 20 = 0.021079
 ------ Doc # 45 = 0.020985
 ------ Doc # 757 = 0.020935
 ------ Doc # 747 = 0.020880
 ------ Doc # 409 = 0.020807
 ------ Doc # 275 = 0.020751
 ------ Doc # 449 = 0.020607
 ------ Doc # 780 = 0.020553
 ------ Doc # 182 = 0.020545
 ------ Doc # 779 = 0.020347
 ------ Doc # 116 = 0.020302
 ------ Doc # 883 = 0.020063
 ------ Doc # 1085 = 0.019901
 ------ Doc # 90 = 0.019809
 ------ Doc # 1132 = 0.019556
 ------ Doc # 900 = 0.019190
 ------ Doc # 492 = 0.019052
 ------ Doc # 598 = 0.019044
 ------ Doc # 252 = 0.018987
 ------ Doc # 828 = 0.018642
 ------ Doc # 679 = 0.018553
 ------ Doc # 833 = 0.018512
 ------ Doc # 309 = 0.018441
 ------ Doc # 318 = 0.018396
 ------ Doc # 1032 = 0.018331
 ------ Doc # 642 = 0.017934
 ------ Doc # 1025 = 0.017912
 ------ Doc # 692 = 0.017911
 ------ Doc # 708 = 0.017735
 ------ Doc # 580 = 0.017228
 ------ Doc # 720 = 0.017025
 ------ Doc # 381 = 0.016955
 ------ Doc # 656 = 0.016816
 ------ Doc # 808 = 0.016789
 ------ Doc # 893 = 0.016612
 ------ Doc # 759 = 0.016541
 ------ Doc # 695 = 0.016450
 ------ Doc # 1094 = 0.016363
 ------ Doc # 222 = 0.016048
 ------ Doc # 663 = 0.015922
 ------ Doc # 723 = 0.015151
 ------ Doc # 834 = 0.015019
 ------ Doc # 1063 = 0.014858
 ------ Doc # 282 = 0.014717
 ------ Doc # 376 = 0.014533
 ------ Doc # 974 = 0.014239
 ------ Doc # 16 = 0.013893
 ------ Doc # 274 = 0.012575
 ------ Doc # 456 = 0.012336
 ------ Doc # 1219 = 0.011637
 ------ Doc # 1231 = 0.011288
 ------ Doc # 468 = 0.011256
 ------ Doc # 1229 = 0.011165
 ------ Doc # 464 = 0.011148
 ------ Doc # 657 = 0.010899
 ------ Doc # 756 = 0.010867
 ------ Doc # 609 = 0.010785
 ------ Doc # 603 = 0.010712
 ------ Doc # 948 = 0.010342
 ------ Doc # 191 = 0.010063
 ------ Doc # 724 = 0.009888
 ------ Doc # 1080 = 0.009759
 ------ Doc # 385 = 0.009274
 ------ Doc # 416 = 0.009039
 ------ Doc # 477 = 0.009030
 ------ Doc # 240 = 0.008651
 ------ Doc # 338 = 0.008458
 ------ Doc # 1097 = 0.008442
 ------ Doc # 1126 = 0.007956
 ------ Doc # 57 = 0.007850
 ------ Doc # 558 = 0.007845
 ------ Doc # 908 = 0.003958
 ------ Doc # 1061 = 0.003769
 ------ Doc # 781 = 0.000000
 ------ Doc # 1015 = 0.000000
 ------ Doc # 1018 = 0.000000

